client_name,country,fiscal_year_end,engagement_status,hours_logged,entry_date
Granite Audit Group,ES,2026-09-30,review,56.4,2026-12-31
Everest Advisory,ES,2026-12-31,fieldwork,96.8,2026-03-31
Cedarwood LLP,BE,2026-12-31,fieldwork,47.3,2026-06-30
Meridian CPAs,CH,2026-06-30,complete,66.0,2026-06-30
Quarry & Stone (UK),NL,2026-06-30,planning,76.2,2026-06-30
Thornton & Vale,IT,2026-06-30,review,99.7,2026-12-31
Fairview CPAs,ES,2026-09-30,complete,25.8,2026-03-31
Riverbend CPAs (EU),DE,2026-12-31,review,112.0,2026-12-31
Ironoak Assurance,DE,2026-03-31,review,82.0,2026-12-31
ALPINE AUDIT PARTNERS (US),CH,2026-12-31,review,91.6,2026-03-31
Cedarwood LLP,IT,2026-03-31,complete,92.4,2026-12-31
Thornton & Vale,IE,2026-06-30,planning,83.2,2026-09-30
Zenith Assurance,DE,2026-03-31,complete,4.9,2026-09-30
Juniper & Frost,,2026-12-31,complete,14.1,2026-03-31
Granite Audit Group (EU),CH,2026-06-30,planning,35.5,2026-06-30
Harborline LLP (US),NL,N/A,review,12.1,2026-03-31
Granite Audit Group (UK),US,2026-09-30,planning,47.7,2026-09-30
Yellowfield LLP (US),NL,2026-03-31,complete,80.6,2026-06-30
Delta Assurance,FR,2026-12-31,fieldwork,67.5,2026-06-30
Vantage Audit,ES,2026-06-30,planning,56.6,2026-06-30
Juniper & Frost,DE,2026-03-31,planning,95.0,2026-03-31
Umberline LLP (US),IT,2026-03-31,planning,113.2,2026-12-31
Lakeshore Partners,CH,2026-03-31,complete,92.4,2026-12-31
Yellowfield LLP,BE,2026-06-30,planning,46.5,2026-06-30
Pinnacle Audit Co,IT,2026-03-31,review,92.8,2026-12-31
Quarry & Stone,CH,Dec 31st,planning,81.6,2026-06-30
Alpine Audit Partners,NL,2026-06-30,planning,11.2,2026-12-31
Thornton & Vale,GB,2026-03-31,review,83.8,2026-12-31
Lakeshore Partners,FR,2026-06-30,planning,98.7,2026-12-31
Pinnacle Audit Co,CH,2026-12-31,complete,109.3,2026-12-31
Granite Audit Group,DE,2026-06-30,complete,0.0,2026-06-30
Quarry & Stone,CH,2026-12-31,planning,33.6,2026-12-31
Granite Audit Group,CH,2026-03-31,complete,22.8,2026-12-31
Cedarwood LLP,FR,2026-12-31,planning,4.3,2026-12-31
Quarry & Stone (EU),,2026-09-30,review,49.8,2026-09-30
Juniper & Frost,IE,2026-06-30,complete,89.2,2026-09-30
Thornton & Vale,IT,2026-12-31,planning,49.4,2026-12-31
Pinnacle Audit Co,CH,2026-09-30,review,38.3,2026-03-31
Harborline LLP,IE,2026-09-30,complete,95.1,2026-03-31
DELTA ASSURANCE,US,2026-12-31,complete,24.0,2026-06-30
Pinnacle Audit Co,FR,2026-06-30,complete,73.4,2026-09-30
Granite Audit Group,IE,2026-09-30,fieldwork,95.2,2026-03-31
Thornton & Vale,IE,2026-12-31,fieldwork,15.9,2026-12-31
  Zenith Assurance ,,2026-06-30,fieldwork,61.1,2026-09-30
NORTHGATE ASSURANCE,IT,2026-12-31,planning,26.5,2026-12-31
Lakeshore Partners,US,2026-09-30,planning,78.9,2026-06-30
Westbrook CPAs,,2026-06-30,fieldwork,65.3,2026-03-31
Kestrel Audit,IT,2026-06-30,planning,9.5,2026-03-31
Vantage Audit,BE,2026-09-30,fieldwork,115.6,2026-06-30
Harborline LLP (US),ES,2026-09-30,fieldwork,9.0,2026-12-31
Oakfield LLP,NL,2026-12-31,planning,45.5,2026-09-30
Northgate Assurance,IE,2026-09-30,complete,37.5,2026-06-30
Zenith Assurance (UK),IT,2026-06-30,review,68.8,2026-09-30
Pinnacle Audit Co,US,2026-09-30,review,36.2,2026-12-31
OAKFIELD LLP,CH,2026-06-30,review,112.3,2026-03-31
Alpine Audit Partners,BE,2026-12-31,complete,68.0,2026-12-31
Pinnacle Audit Co,US,2026-09-30,review,82.6,2026-03-31
Delta Assurance,GB,2026-03-31,complete,119.0,2026-09-30
VANTAGE AUDIT,US,2026-09-30,review,32.6,2026-12-31
Fairview CPAs (US),,N/A,complete,27.8,2026-06-30
Ironoak Assurance,GB,2026-09-30,review,82.3,2026-06-30
Beacon & Co (EU),FR,2026-03-31,complete,29.3,2026-12-31
Yellowfield LLP,IT,2026-03-31,review,70.7,2026-03-31
Alpine Audit Partners,CH,2026-03-31,fieldwork,81.3,2026-06-30
Delta Assurance,ES,2026-06-30,review,11.5,2026-09-30
Alpine Audit Partners,FR,31-06-2026,complete,113.6,2026-06-30
Granite Audit Group,ES,2026-12-31,fieldwork,,2026-06-30
Beacon & Co,IE,2026-12-31,planning,106.8,2026-12-31
Juniper & Frost (UK),IE,2026-09-30,complete,90.4,2026-03-31
  Lakeshore Partners ,FR,2026-06-30,complete,-5,2026-03-31
Ironoak Assurance (EU),IT,2026-09-30,planning,32.1,2026-06-30
Fairview CPAs (US),BE,2026-12-31,planning,8.9,2026-12-31
Beacon & Co,IE,Dec 31st,review,59.0,2026-12-31
Umberline LLP,IT,2026-09-30,planning,113.4,2026-03-31
Harborline LLP,CH,2026-06-30,complete,91.1,2026-03-31
Vantage Audit,,2026-09-30,review,103.3,2026-12-31
Zenith Assurance (US),US,2026-12-31,complete,116.0,2026-03-31
Riverbend CPAs (US),CH,2026-09-30,fieldwork,84.6,2026-06-30
Quarry & Stone (UK),DE,2026-03-31,review,68.3,2026-09-30
Quarry & Stone,ES,2026-03-31,planning,84.1,2026-03-31
  Meridian CPAs (UK) ,FR,2026-06-30,planning,99.5,2026-12-31
Summit Assurance (UK),,2026-06-30,fieldwork,50.0,2026-12-31
Fairview CPAs,ES,2026-09-30,complete,25.8,2026-03-31
Cedarwood LLP,IT,2026-03-31,complete,92.4,2026-12-31
Zenith Assurance,NL,2026-03-31,review,118.0,2026-12-31
Thornton & Vale (US),,2026-09-30,complete,91.2,2026-09-30
Everest Advisory,FR,2026-06-30,planning,26.6,2026-12-31
Quarry & Stone,GB,N/A,review,many,2026-03-31
Harborline LLP,NL,2026-03-31,planning,94.8,2026-09-30
Zenith Assurance,IE,2026-09-30,complete,88.2,2026-03-31
Beacon & Co,FR,2026-06-30,planning,98.7,2026-06-30
Beacon & Co,,2026-12-31,fieldwork,113.0,2026-03-31
FAIRVIEW CPAS (EU),IE,2026-12-31,review,67.6,2026-03-31
Lakeshore Partners (US),CH,2026-06-30,fieldwork,,2026-06-30
Cedarwood LLP,FR,Dec 31st,planning,19.7,2026-03-31
Granite Audit Group,ES,,complete,98.7,2026-03-31
Meridian CPAs,DE,2026-03-31,planning,1.0,2026-03-31
Granite Audit Group,IE,2026-03-31,fieldwork,74.0,2026-06-30
Delta Assurance,IT,2026-06-30,fieldwork,30.3,2026-09-30
Delta Assurance (UK),GB,2026-03-31,complete,100.7,2026-03-31
Meridian CPAs (UK),FR,2026-06-30,planning,99.5,2026-12-31
Harborline LLP,FR,2026-12-31,complete,35.9,2026-12-31
Cedarwood LLP,GB,2026-03-31,planning,53.9,2026-03-31
Delta Assurance,BE,2026-12-31,complete,25.2,2026-06-30
Alpine Audit Partners (US),CH,2026-12-31,review,91.6,2026-03-31
Ironoak Assurance,,2026-06-30,review,56.2,2026-06-30
Vantage Audit,BE,2026-09-30,planning,14.8,2026-06-30
  Yellowfield LLP ,NL,2026-06-30,complete,33.0,2026-12-31
Summit Assurance,IE,2026-09-30,complete,87.9,2026-06-30
Yellowfield LLP,GB,2026-09-30,review,31.6,2026-12-31
Oakfield LLP,IE,2026-09-30,planning,100.5,2026-12-31
Juniper & Frost,ES,2026-12-31,review,77.2,2026-06-30
Summit Assurance,GB,2026-09-30,planning,79.4,2026-09-30
Pinnacle Audit Co,FR,2026-06-30,fieldwork,62.5,2026-03-31
Northgate Assurance,GB,2026-06-30,planning,90.8,2026-03-31
Fairview CPAs,DE,2026-12-31,review,15.2,2026-09-30
Granite Audit Group,IT,2026-03-31,review,110.6,2026-09-30
Fairview CPAs (US),CH,2026-09-30,fieldwork,76.5,2026-09-30
Fairview CPAs,NL,2026-09-30,planning,67.7,2026-09-30
Vantage Audit,NL,2026-06-30,complete,39.8,2026-06-30
Summit Assurance (EU),FR,2026-12-31,planning,56.6,2026-06-30
Westbrook CPAs (UK),IT,2026-06-30,fieldwork,64.0,2026-06-30
Delta Assurance,GB,2026-06-30,planning,5.8,2026-12-31
Harborline LLP,DE,2026-12-31,complete,66.9,2026-03-31
Oakfield LLP (EU),DE,2026-12-31,planning,97.0,2026-09-30
Juniper & Frost,,2026-12-31,complete,83.5,2026-03-31
THORNTON & VALE (US),,2026-09-30,complete,91.2,2026-09-30
Umberline LLP,IT,2026-03-31,complete,12.8,2026-09-30
Vantage Audit,US,2026-03-31,fieldwork,35.8,2026-06-30
Northgate Assurance,IE,2026-03-31,review,35.2,2026-09-30
Kestrel Audit (US),CH,2026-06-30,complete,94.3,2026-06-30
Westbrook CPAs (EU),CH,2026-09-30,review,50.7,2026-12-31
Juniper & Frost,CH,2026-12-31,fieldwork,74.1,2026-12-31
IRONOAK ASSURANCE,BE,2026-09-30,review,91.5,2026-12-31
Northgate Assurance,,2026-03-31,review,9.5,2026-03-31
Summit Assurance,US,,complete,67.9,2026-12-31
Umberline LLP,FR,2026-09-30,fieldwork,42.3,2026-06-30
Fairview CPAs,CH,2026-12-31,complete,89.4,2026-03-31
Alpine Audit Partners,ES,2026-09-30,complete,88.3,2026-12-31
Pinnacle Audit Co (US),IT,2026-03-31,planning,47.8,2026-09-30
Pinnacle Audit Co (EU),ES,2026-09-30,fieldwork,110.3,2026-12-31
Granite Audit Group,FR,2026-06-30,complete,81.3,2026-06-30
Beacon & Co,IT,2026-06-30,planning,,2026-12-31
Beacon & Co,DE,2026-03-31,planning,66.5,2026-03-31
Thornton & Vale,NL,2026-09-30,review,76.8,2026-03-31
Fairview CPAs,ES,2026-06-30,fieldwork,106.4,2026-06-30
Fairview CPAs (UK),US,2026-06-30,complete,119.5,2026-06-30
Cedarwood LLP (US),IT,2026-09-30,fieldwork,98.5,2026-03-31
Beacon & Co,FR,2026-06-30,planning,98.7,2026-06-30
Everest Advisory,,2026-03-31,planning,70.9,2026-09-30
  Juniper & Frost ,,2026-03-31,complete,80.5,2026-09-30
Yellowfield LLP (EU),CH,2026-09-30,review,39.6,2026-09-30
Northgate Assurance,BE,2026-03-31,fieldwork,71.5,2026-12-31
Kestrel Audit (US),IT,2026-03-31,complete,97.1,2026-06-30
Pinnacle Audit Co,GB,2026-13-45,fieldwork,many,2026-12-31
Oakfield LLP,NL,2026-06-30,planning,27.6,2026-03-31
Zenith Assurance,,2026-06-30,fieldwork,61.1,2026-09-30
Cedarwood LLP,CH,2026-09-30,planning,43.1,2026-12-31
Ironoak Assurance,GB,2026-03-31,fieldwork,104.3,2026-06-30
Granite Audit Group,US,2026-06-30,planning,30.0,2026-06-30
Cedarwood LLP,DE,2026-12-31,fieldwork,18.9,2026-06-30
Westbrook CPAs,NL,2026-03-31,review,64.3,2026-03-31
Granite Audit Group (US),,2026-09-30,complete,14.5,2026-06-30
Meridian CPAs,IT,2026-09-30,planning,13.7,2026-03-31
Summit Assurance,BE,2026-03-31,complete,61.2,2026-12-31
Thornton & Vale (US),NL,2026-06-30,complete,23.3,2026-09-30
Granite Audit Group,IE,2026-09-30,fieldwork,94.2,2026-03-31
Granite Audit Group (US),IE,2026-03-31,fieldwork,83.3,2026-06-30
Meridian CPAs (US),IT,2026-09-30,planning,24.7,2026-12-31
Fairview CPAs,IT,2026-03-31,fieldwork,101.3,2026-12-31
  Vantage Audit ,IT,2026-12-31,planning,87.4,2026-12-31
DELTA ASSURANCE,IT,2026-06-30,fieldwork,30.3,2026-09-30
Kestrel Audit,US,2026-03-31,review,115.0,2026-03-31
Juniper & Frost (EU),FR,2026-09-30,fieldwork,65.6,2026-12-31
Yellowfield LLP,BE,2026-06-30,fieldwork,88.9,2026-03-31
Granite Audit Group (UK),FR,2026-09-30,review,57.8,2026-09-30
Beacon & Co,GB,2026-03-31,fieldwork,57.8,2026-09-30
Juniper & Frost,NL,2026-12-31,fieldwork,71.3,2026-12-31
Lakeshore Partners,IT,2026-09-30,planning,99.5,2026-06-30
Lakeshore Partners,FR,2026-06-30,complete,-5,2026-03-31
Summit Assurance (US),IE,2026-12-31,review,58.7,2026-06-30
Harborline LLP (EU),US,2026-09-30,review,26.2,2026-06-30
Riverbend CPAs (US),FR,2026-12-31,planning,69.5,2026-03-31
Thornton & Vale,US,2026-09-30,review,35.5,2026-03-31
Ironoak Assurance,IT,2026-09-30,review,many,2026-03-31
BEACON & CO (UK),US,2026-03-31,review,54.1,2026-09-30
Oakfield LLP (EU),ES,2026-12-31,complete,22.5,2026-06-30
Summit Assurance,BE,2026-06-30,complete,44.2,2026-12-31
Meridian CPAs,IT,2026-03-31,fieldwork,95.9,2026-12-31
Beacon & Co (UK),US,2026-03-31,review,54.1,2026-09-30
Juniper & Frost,,2026-03-31,complete,80.5,2026-09-30
Alpine Audit Partners,ES,2026-06-30,fieldwork,39.8,2026-09-30
Granite Audit Group,IE,,review,117.3,2026-06-30
Westbrook CPAs (US),NL,2026-09-30,fieldwork,110.2,2026-09-30
Delta Assurance (US),BE,2026-12-31,fieldwork,71.9,2026-12-31
Yellowfield LLP,,2026-03-31,complete,40.9,2026-06-30
Alpine Audit Partners (US),IE,2026-03-31,fieldwork,48.1,2026-03-31
Northgate Assurance,ES,2026-03-31,fieldwork,16.8,2026-06-30
Vantage Audit,DE,2026-12-31,review,4.0,2026-06-30
Granite Audit Group,DE,2026-12-31,fieldwork,76.0,2026-09-30
Ironoak Assurance,IT,2026-03-31,planning,41.5,2026-06-30
Juniper & Frost (US),CH,2026-06-30,planning,17.0,2026-06-30
Westbrook CPAs,FR,2026-03-31,complete,68.1,2026-09-30
Yellowfield LLP,BE,2026-12-31,planning,101.7,2026-09-30
Pinnacle Audit Co,BE,2026-06-30,fieldwork,74.0,2026-06-30
Cedarwood LLP,BE,2026-03-31,planning,72.9,2026-09-30
Westbrook CPAs (EU),DE,2026-03-31,review,85.8,2026-09-30
Beacon & Co,,2026-09-30,fieldwork,49.4,2026-03-31
Fairview CPAs,BE,2026-06-30,fieldwork,90.0,2026-06-30
Beacon & Co (EU),IE,2026-12-31,complete,22.8,2026-12-31
Beacon & Co (EU),ES,2026-03-31,review,86.5,2026-03-31
Westbrook CPAs,BE,N/A,planning,81.1,2026-03-31
Fairview CPAs,DE,2026-09-30,fieldwork,87.0,2026-03-31
Oakfield LLP (EU),GB,2026-06-30,planning,98.0,2026-03-31
Yellowfield LLP,NL,2026-06-30,complete,33.0,2026-12-31
Quarry & Stone,FR,2026-12-31,review,100.7,2026-06-30
Meridian CPAs (EU),CH,2026-06-30,planning,12.7,2026-09-30
Oakfield LLP,NL,2026-09-30,fieldwork,54.1,2026-06-30
Quarry & Stone,ES,2026-12-31,complete,82.6,2026-09-30
Summit Assurance (UK),,2026-06-30,planning,104.0,2026-09-30
Oakfield LLP,DE,2026-09-30,fieldwork,12.1,2026-12-31
Zenith Assurance,DE,2026-06-30,complete,9.1,2026-12-31
Riverbend CPAs,NL,2026-09-30,planning,-5,2026-06-30
Riverbend CPAs (UK),US,2026-06-30,review,105.2,2026-03-31
Beacon & Co (UK),IE,2026-12-31,fieldwork,113.9,2026-06-30
Yellowfield LLP (EU),IE,2026-03-31,fieldwork,26.9,2026-12-31
Kestrel Audit (UK),FR,2026-09-30,fieldwork,93.5,2026-12-31
Summit Assurance (UK),CH,2026-12-31,complete,60.1,2026-09-30
Vantage Audit (US),FR,2026-06-30,fieldwork,33.0,2026-06-30
